profid,total.m,total.f
1,153,0
2,12,0
3,249,2
4,29,0
5,192,2
6,30,0
7,13,0
8,28,0
9,115,1
10,239,3
11,35,0
12,22,0
13,100,0
14,51,0
16,57,0
17,194,0
18,114,0
19,92,1
20,25,0
22,56,0
23,99,0
24,28,1
25,44,0
26,154,1
30,22,0
31,30,0
32,79,2
33,13,0
35,122,1
36,19,0
37,161,0
38,33,0
40,71,0
41,29,0
44,53,0
45,57,0
46,58,0
47,62,0
48,67,0
51,66,1
52,57,2
54,25,0
55,29,0
56,93,0
57,49,0
58,33,2
59,108,1
61,18,0
62,37,1
64,34,1
65,52,0
66,178,2
67,120,0
69,127,3
70,112,0
74,150,0
75,1,166
76,76,1
77,182,1
78,105,0
79,1,200
80,206,2
82,156,1
84,1,181
85,70,0
86,93,1
87,15,0
89,41,0
90,170,1
91,28,0
93,51,1
98,79,1
99,67,0
101,88,1
103,44,0
104,38,0
105,230,3
107,69,0
108,29,1
109,37,0
111,72,0
113,19,0
115,93,0
116,73,0
117,27,0
118,69,0
119,256,3
120,94,1
122,2,120
123,38,1
124,27,0
125,125,0
126,119,4
129,114,0
130,27,0
133,525,3
135,33,0
136,39,0
137,45,0
139,1,129
141,45,0
143,203,1
144,31,0
146,163,1
148,52,0
149,1,46
150,24,0
152,27,0
153,17,0
154,30,0
155,64,0
156,32,0
157,84,0
158,183,1
160,42,0
161,42,0
162,213,4
163,4,0
164,77,1
165,76,2
166,26,1
167,10,0
169,1,196
170,122,0
172,148,2
173,1,24
174,28,0
178,68,6
182,106,0
184,43,0
185,62,2
189,18,0
190,51,3
193,25,1
194,173,1
195,25,0
197,65,0
198,82,3
199,22,0
200,41,0
201,70,0
202,82,0
203,53,1
205,39,0
206,52,0
207,35,0
208,163,7
209,66,1
210,63,0
211,162,1
213,37,0
214,35,2
216,30,1
217,79,0
218,1,43
219,22,1
220,100,1
221,77,3
223,33,0
224,57,0
225,98,0
227,42,0
230,10,0
231,97,1
233,14,0
234,1,223
235,110,4
236,37,0
237,54,0
238,40,1
240,101,0
243,34,0
245,39,0
247,34,2
248,71,0
249,21,0
250,82,0
254,1,81
255,40,0
256,179,2
257,45,2
259,61,3
260,37,0
261,23,0
263,27,0
266,59,1
267,27,0
268,96,0
269,14,0
270,55,2
271,40,1
273,30,0
274,65,1
275,94,0
276,128,0
279,57,0
281,29,0
284,32,0
285,125,0
286,38,0
289,36,1
290,199,2
292,1,63
293,159,1
295,98,1
297,217,1
300,41,0
301,43,1
304,146,0
306,101,0
307,36,1
309,45,0
310,84,0
311,112,0
312,59,0
316,44,6
318,164,0
320,76,0
321,6,0
323,89,2
325,31,1
327,21,1
330,25,0
332,55,0
333,33,0
334,28,0
335,105,0
336,157,0
337,1,68
338,1,94
339,244,3
340,36,1
341,36,0
342,52,0
343,21,0
344,20,1
345,52,0
348,17,1
349,31,1
350,22,0
351,64,3
352,52,0
353,47,0
355,61,0
356,28,1
357,120,2
358,49,1
362,88,2
363,49,3
364,111,0
365,161,3
366,58,0
367,27,0
368,41,0
370,37,0
372,104,0
373,62,1
374,129,1
375,1,137
376,46,0
377,56,0
378,55,1
380,42,0
381,78,0
382,33,0
383,135,1
384,55,0
385,62,0
386,46,1
387,28,0
388,34,0
389,40,0
390,88,0
392,37,1
396,35,0
397,107,1
398,27,0
399,14,0
400,33,0
401,23,0
404,87,1
405,29,0
406,73,0
407,92,0
411,67,0
412,1,13
414,13,0
415,28,0
416,49,0
417,31,0
418,56,0
419,146,2
420,43,0
421,1,101
422,267,6
425,1,56
427,133,0
428,72,1
429,79,12
431,2,61
432,78,0
433,1,144
435,2,160
436,1,67
437,10,0
439,65,1
440,15,0
442,3,185
443,43,1
444,81,1
447,1,40
449,67,1
450,39,0
452,2,70
453,44,1
454,33,2
455,54,0
456,157,0
457,42,0
458,70,1
459,85,0
460,43,1
461,73,0
462,1,114
463,116,1
465,48,1
467,41,1
469,28,0
470,82,0
471,75,2
472,43,0
473,35,0
478,67,1
481,13,0
482,42,0
483,60,3
484,81,0
485,33,0
486,52,0
487,55,1
489,72,0
490,18,0
491,19,0
492,56,0
493,1,27
494,122,1
495,83,0
497,137,2
499,23,1
501,1,33
502,81,1
504,19,0
506,147,1
507,19,0
508,27,0
509,2,49
511,22,0
514,94,2
515,30,2
517,36,0
518,31,0
519,22,0
520,38,0
521,59,3
522,30,0
524,129,1
525,62,0
530,119,3
531,74,0
532,22,0
533,43,0
534,1,136
535,73,1
537,28,0
540,33,0
542,16,1
543,113,3
544,41,0
545,33,0
546,11,0
548,45,0
549,80,2
555,33,0
557,26,1
559,120,1
560,65,0
561,54,0
562,271,3
563,71,0
564,156,2
565,22,0
567,38,2
569,101,4
570,51,0
572,68,0
574,33,0
575,91,3
576,95,0
577,199,4
579,73,2
581,30,0
582,183,3
583,1,44
584,50,0
585,42,0
588,33,0
592,1,85
595,189,0
596,36,0
598,68,0
601,20,1
603,2,139
604,1,107
605,20,0
607,74,0
609,128,2
613,63,0
614,60,0
615,79,2
617,98,0
619,44,0
620,51,0
622,39,0
623,76,0
624,44,1
625,135,0
628,31,0
630,41,1
631,165,1
