word,lexicon
a,evaluation
a's,evaluation
able,evaluation
about,evaluation
according,evaluation
accordingly,evaluation
across,evaluation
actually,evaluation
after,evaluation
afterwards,evaluation
again,evaluation
against,evaluation
all,evaluation
allow,evaluation
allows,evaluation
almost,evaluation
along,evaluation
already,evaluation
also,evaluation
although,evaluation
am,evaluation
among,evaluation
amongst,evaluation
an,evaluation
and,evaluation
another,evaluation
any,evaluation
anybody,evaluation
anyhow,evaluation
anyone,evaluation
anything,evaluation
anyway,evaluation
anyways,evaluation
anywhere,evaluation
apart,evaluation
appear,evaluation
are,evaluation
around,evaluation
as,evaluation
aside,evaluation
associated,evaluation
at,evaluation
away,evaluation
b,evaluation
be,evaluation
became,evaluation
because,evaluation
become,evaluation
becomes,evaluation
becoming,evaluation
been,evaluation
before,evaluation
behind,evaluation
being,evaluation
beside,evaluation
besides,evaluation
between,evaluation
both,evaluation
but,evaluation
by,evaluation
c,evaluation
c'mon,evaluation
c's,evaluation
came,evaluation
can,evaluation
cause,evaluation
causes,evaluation
changes,evaluation
co,evaluation
com,evaluation
come,evaluation
comes,evaluation
concerning,evaluation
consequently,evaluation
consider,evaluation
contain,evaluation
containing,evaluation
contains,evaluation
corresponding,evaluation
could,evaluation
course,evaluation
currently,evaluation
d,evaluation
described,evaluation
despite,evaluation
did,evaluation
different,evaluation
do,evaluation
does,evaluation
doing,evaluation
done,evaluation
downwards,evaluation
during,evaluation
e,evaluation
each,evaluation
edu,evaluation
eg,evaluation
eight,evaluation
either,evaluation
else,evaluation
elsewhere,evaluation
especially,evaluation
et,evaluation
etc,evaluation
even,evaluation
ever,evaluation
every,evaluation
everybody,evaluation
everyone,evaluation
everything,evaluation
everywhere,evaluation
ex,evaluation
except,evaluation
f,evaluation
far,evaluation
few,evaluation
fifth,evaluation
first,evaluation
five,evaluation
followed,evaluation
following,evaluation
follows,evaluation
for,evaluation
former,evaluation
formerly,evaluation
forth,evaluation
four,evaluation
from,evaluation
further,evaluation
furthermore,evaluation
g,evaluation
get,evaluation
gets,evaluation
getting,evaluation
given,evaluation
gives,evaluation
go,evaluation
goes,evaluation
going,evaluation
gone,evaluation
got,evaluation
gotten,evaluation
greetings,evaluation
h,evaluation
had,evaluation
happens,evaluation
has,evaluation
have,evaluation
having,evaluation
he,evaluation
he's,evaluation
hello,evaluation
hence,evaluation
her,evaluation
here,evaluation
here's,evaluation
hereafter,evaluation
hereby,evaluation
herein,evaluation
hereupon,evaluation
hers,evaluation
herself,evaluation
hi,evaluation
him,evaluation
himself,evaluation
his,evaluation
hither,evaluation
how,evaluation
howbeit,evaluation
however,evaluation
i,evaluation
i'd,evaluation
i'll,evaluation
i'm,evaluation
i've,evaluation
ie,evaluation
if,evaluation
in,evaluation
inasmuch,evaluation
inc,evaluation
indeed,evaluation
indicate,evaluation
indicated,evaluation
indicates,evaluation
inner,evaluation
insofar,evaluation
instead,evaluation
into,evaluation
is,evaluation
it,evaluation
it'd,evaluation
it'll,evaluation
it's,evaluation
its,evaluation
itself,evaluation
j,evaluation
just,evaluation
k,evaluation
l,evaluation
last,evaluation
lately,evaluation
later,evaluation
latter,evaluation
latterly,evaluation
let,evaluation
let's,evaluation
likely,evaluation
look,evaluation
looking,evaluation
looks,evaluation
ltd,evaluation
m,evaluation
mainly,evaluation
many,evaluation
may,evaluation
maybe,evaluation
me,evaluation
mean,evaluation
meanwhile,evaluation
might,evaluation
moreover,evaluation
much,evaluation
must,evaluation
my,evaluation
myself,evaluation
n,evaluation
name,evaluation
namely,evaluation
nd,evaluation
near,evaluation
need,evaluation
needs,evaluation
neither,evaluation
never,evaluation
nevertheless,evaluation
next,evaluation
nine,evaluation
no,evaluation
nobody,evaluation
non,evaluation
noone,evaluation
nor,evaluation
normally,evaluation
now,evaluation
nowhere,evaluation
o,evaluation
of,evaluation
off,evaluation
oh,evaluation
ok,evaluation
okay,evaluation
old,evaluation
on,evaluation
once,evaluation
one,evaluation
ones,evaluation
onto,evaluation
or,evaluation
