gender,class,gpa,age,weight,height,smoke,drink,wechat,depress1,depress2,depress3,depress4,depress5,depress6,depress7,sad1,sad2,sad3,sad4,sad5,sad6,sad7,sad8,sad9,sad10,happy1,happy2,happy3,happy4
0,A,3.741,20,65,180,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,3
1,A,3.668,21,49,160,0,1,365,0,0,1,0,0,0,0,1,0,1,2,2,1,0,2,1,1,6,4,4,4
0,A,3.259,21,80,182,1,1,150,1,1,0,1,1,0,0,2,2,0,0,0,0,1,2,1,1,5,5,4,1
1,A,3.636,22,60,167,1,1,167,1,1,1,1,1,0,0,1,2,2,1,2,1,0,1,0,0,6,6,5,5
0,A,2.873,22,70,172,0,0,68,1,2,1,1,2,3,0,1,0,3,3,1,0,1,2,3,1,7,7,5,6
1,A,3.745,22,55,155,0,1,90,1,2,1,2,1,1,2,2,1,1,0,1,2,1,2,0,2,6,4,6,3
1,A,3.455,21,50,159,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,6,6
0,A,3.3,20,60,180,0,0,100,2,0,0,0,0,0,3,0,1,1,1,2,1,2,2,1,1,5,6,7,1
1,A,3.814,23,53,165,0,0,112,2,0,1,1,1,0,1,1,1,1,1,0,0,1,2,2,1,4,5,5,4
1,A,3.595,23,50,167,0,0,44,1,1,0,1,0,1,1,3,2,2,1,1,1,1,3,1,2,4,4,5,6
0,A,3.3,21,55,173,0,0,23,2,1,2,2,1,1,2,2,1,2,2,3,1,1,2,0,1,5,6,5,3
1,A,3.359,22,37,155,0,0,155,2,1,2,1,1,1,2,1,1,2,2,1,3,1,1,2,2,5,6,5,6
0,A,3.305,21,54,170,0,1,40,2,0,0,0,0,1,1,2,0,0,2,2,0,1,2,0,0,7,7,7,1
0,A,3.636,22,55,178,0,1,57,1,0,1,3,2,1,1,1,2,1,2,1,1,0,3,0,0,6,5,6,5
1,A,3.373,21,55,159,1,1,30,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,0,6,4,6,4
1,A,3.286,21,90,164,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,7,7
1,A,3,21,54,166,0,0,130,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,7,7,6,2
0,A,2.673,20,85,186,1,0,50,1,1,1,2,2,0,1,2,2,1,2,2,1,1,3,2,2,5,4,6,3
1,A,2.255,22,51,165,0,0,780,3,3,2,1,2,1,1,1,0,0,0,3,0,0,3,0,0,7,7,5,2
1,A,3.577,23,55,165,0,0,200,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,7
1,A,3.445,18,40,160,1,0,200,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,7
1,A,3.6,23,60,167,0,1,35,1,1,2,1,1,2,1,1,2,2,2,2,2,1,3,2,1,5,6,4,4
0,A,3.345,24,77,184,0,1,159,1,1,1,1,3,1,1,0,2,1,2,2,1,1,3,2,2,4,5,5,6
1,A,3.209,22,90,172,1,1,108,2,1,2,1,0,3,2,1,2,0,3,1,2,2,1,0,2,5,4,4,1
0,A,3.041,21,60,179,1,0,60,1,1,3,1,1,1,0,1,3,1,3,2,3,0,2,0,1,5,2,4,7
0,A,3.058,24,90,180,0,1,2,2,0,0,2,1,2,0,2,1,1,2,0,0,2,1,1,1,6,4,5,4
1,A,3.044,21,50,163,0,1,30,1,1,2,2,1,3,1,0,3,1,3,2,2,2,2,1,1,6,4,3,6
0,A,3.031,20,90,174,0,0,50,1,1,1,1,1,0,0,1,1,1,2,2,2,3,1,2,1,5,6,7,1
1,A,3.017,22,49,158,0,1,93,1,1,1,2,1,1,1,2,2,3,3,3,2,2,3,3,2,4,4,3,4
1,A,3.003,21,60,170,0,1,207,1,1,1,1,1,2,2,2,3,2,3,2,1,1,3,3,1,5,6,5,5
0,A,2.989,21,110,183,1,0,61,1,2,3,2,1,2,0,1,3,2,3,3,3,3,2,3,2,2,2,4,7
0,A,2.976,21,77,186,0,1,103,1,0,0,0,0,1,0,2,1,2,1,1,1,1,2,1,1,6,6,6,2
1,A,2.962,21,57,168,0,0,150,1,0,1,1,0,1,0,0,2,0,0,2,0,2,2,2,1,4,4,5,3
1,B,3.162,23,46,160,0,0,73,1,1,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,6,6,7,2
0,B,2.888,21,83,185,0,1,100,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,7,7,6,2
1,B,2.718,22,56,170,0,0,110,1,1,0,0,0,1,0,2,2,2,3,2,3,1,2,0,0,4,3,4,6
1,B,3.007,21,55,167,0,0,339,1,1,0,1,1,1,0,2,1,2,2,2,1,2,2,2,1,5,5,3,5
0,B,2.638,22,93,180,1,1,144,3,0,1,1,0,2,0,1,2,3,2,1,1,1,2,2,2,4,6,6,2
0,B,2.959,21,62,176,0,1,83,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,5,5,6,3
1,B,3.779,22,52,166,0,0,117,1,1,2,1,2,1,0,2,2,2,2,1,1,2,2,2,2,5,5,5,5
1,B,3.718,21,53,164,0,0,221,1,0,1,0,0,1,0,1,1,1,1,1,1,1,2,1,1,5,6,5,4
0,B,3.135,21,80,175,0,1,80,1,0,0,1,0,1,1,2,1,0,0,2,0,0,3,0,0,6,6,6,5
0,B,2.671,22,76,175,0,1,128,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,4,5,3,6
0,B,3.46,22,63,170,0,1,99,1,0,0,2,1,1,1,1,2,2,2,2,1,2,2,1,1,6,6,5,5
1,B,3.868,23,68,159,0,0,20,1,0,0,1,1,1,0,1,2,0,1,1,1,2,1,1,1,6,4,5,3
1,B,3.35,21,52,160,0,0,281,1,1,0,1,0,1,1,1,1,2,1,1,1,1,2,1,1,5,4,3,3
1,B,3.574,21,50,168,0,0,826,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5
0,B,2.841,22,55,168,0,1,30,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,7,7,7
1,B,3.259,22,58,170,0,0,225,1,1,0,1,0,1,0,2,2,1,2,1,1,1,1,0,1,6,3,3,6
0,B,2.276,22,70,170,1,1,100,1,0,1,2,0,1,1,1,1,0,1,1,0,1,1,2,1,4,3,5,1
0,B,3.006,22,70,175,0,1,10,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,6,7,5,6
0,B,3.653,22,70,174,1,1,159,1,0,1,1,0,1,1,1,1,2,2,1,0,0,1,2,1,7,6,6,2
0,B,2.668,24,80,169,0,1,28,1,0,1,1,2,1,1,2,1,0,1,1,1,2,2,1,1,6,5,6,4
