"","gender","kage","k_read_irt","k_read1","k_read2","k_read3","k_read4","k_print","k_read_tht","k_math_irt","k_math1","k_math2","k_math3","k_math4","k_math_tht","k_gk_irt","k_gk_tht","f_mtr","g_mtr","P1LEARN","P1CONTRO","P1SOCIAL","P1SADLON","P1IMPULS","ars_lit","ars_mth","ars_gk","T1LEARN","T1CONTRO","T1INTERP","T1EXTERN","T1INTERN","height","weight","bmi","hisp","na_amer","asian","black","pac_isl","white","m_race","ses_c","ses_cat","poor","income","g8_read","g8_read_tht","g8_math","g8_math_tht","g8_sci","g8_sci_tht"
"1",0,68.7,40.09,0.979,0.623,0.265,0.007,3,-0.628,47.53,1,0.997,0.969,0.427,0.154,35.451,0.596,7,8,3,3.2,4,1.25,1.5,3.85,4.66,4.92,3.17,2.75,2.8,2,1.5,49.13,76.5,23.43,2,2,2,2,2,1,2,1.41,5,2,150000,186.01,1.47,165.67,1.993,82.88,0.752
"2",-1,70.57,29.49,0.454,0.038,0.011,0,3,-1.435,30.71,0.999,0.903,0.327,0.011,-0.625,27.54,0.078,8,6,3.5,1.4,2.33,2.25,2,2.3,2.67,2.95,3.67,3.5,4,1,1.25,44,47,17.25,2,2,2,2,2,1,2,0.74,5,1,16000,204.32,2.004,166.98,2.055,101.87,1.994
"3",0,73.6,56.44,1,0.987,0.93,0.412,2,0.076,40.69,1,0.988,0.877,0.139,-0.134,27.967,0.108,9,6,4,3,4,1.5,1.5,3.71,3.44,3.37,3.67,2.5,3,1,1.75,44.75,41,14.06,2,2,2,2,2,1,2,0.13,4,2,70000,189.34,1.529,148.33,1.518,100.79,1.89
"4",0,76.73,98.86,1,1,0.999,0.994,3,0.939,86.33,1,1,1,0.983,0.953,38.045,0.782,9,8,3.33,3.6,3.33,1.25,1.5,4.74,5,4.92,3,2.75,2.8,1.2,1.5,50.13,52.75,13.92,2,2,2,2,1,2,2,1.19,5,2,65000,191.02,1.563,163.5,1.907,96.03,1.496
"5",-1,68.1,32.83,0.764,0.122,0.033,0,1,-1.167,15.65,0.695,0.039,0.001,0,-1.816,9.108,-1.56,2,0,2.67,3,3.67,1,2,2.48,1.72,2.46,3.17,3.25,3.2,1.4,1.25,43.5,41.5,15.42,2,2,2,1,2,2,2,1.04,5,2,85000,134.23,0.875,72.83,0.307,61.7,-0.122
"6",-1,68.6,46.37,0.997,0.907,0.652,0.057,3,-0.3,40.6,1,0.988,0.877,0.134,-0.137,26.911,0.037,8,7,3.17,3.6,3.67,1,1,3.25,3.44,4.19,2,2,2.6,1.8,2.25,46.75,50.25,16.08,2,2,2,2,2,1,2,-0.48,2,2,30000,187,1.486,154.3,1.648,97.18,1.584
"7",0,64.73,21.45,0.005,0,0,0,0,-2.334,12.71,0.218,0.005,0,0,-2.238,7.559,-1.739,3,5,1.83,1.2,2,1.75,3.5,1.02,1,1.02,1.83,2.67,2.8,1,2,41,34,14.56,2,2,1,2,2,1,2,-0.71,1,1,12000,116.99,0.71,137.1,1.31,62.78,-0.088
"8",-1,67.63,42.96,0.992,0.8,0.449,0.02,0,-0.491,30.57,0.999,0.9,0.319,0.011,-0.628,24.259,-0.138,6,6,3.5,3.2,4,1.25,2.5,2.58,3.66,2.46,3.5,3.5,3.4,1.4,1,44.5,46,16.24,2,2,2,2,2,1,2,1.13,5,2,35000,203.45,1.954,169.27,2.201,107.9,2.996
"9",-1,68.07,46.89,0.997,0.92,0.681,0.068,3,-0.285,41.51,1,0.99,0.898,0.166,-0.101,32.353,0.391,8,6,3.33,3,3.33,1.25,1,3.25,3.44,3.44,3.67,3.67,3.8,1,1.25,44.25,46,16.52,2,2,2,2,2,1,2,-0.21,3,2,30000,198.64,1.758,169.59,2.229,106.69,2.698
"10",-1,75.07,25.58,0.111,0.007,0.002,0,2,-1.775,26.55,0.996,0.749,0.11,0.003,-0.868,30.78,0.288,3,5,3.5,2,3,1.25,2,2.67,2.67,2.46,3.17,3.5,3.2,1.2,1,43.5,43.5,16.16,2,2,2,2,2,1,2,-0.26,3,2,20000,99.3,0.522,90.78,0.621,57.31,-0.302
"11",-1,71.6,35.45,0.898,0.259,0.076,0.001,3,-0.983,28.93,0.998,0.854,0.215,0.007,-0.723,23.703,-0.176,7,8,4,2.8,3,1.25,1.5,2.86,2.42,2.67,3.5,3.5,2.6,1.6,1.5,43.75,46,16.71,1,2,2,2,2,2,2,-0.13,3,2,60000,180.38,1.382,161.45,1.838,92.49,1.262
"12",-1,62.03,26.19,0.148,0.009,0.003,0,2,-1.712,16.38,0.775,0.055,0.001,0,-1.715,16.594,-0.697,2,5,3.17,3.4,3.67,1,1.5,2.38,2.11,1.54,3.17,2,2.8,2,1,45,47,16.14,2,2,2,2,2,1,2,0.18,4,2,35000,191.3,1.57,154.07,1.642,91.76,1.219
"13",-1,72.73,28.49,0.354,0.026,0.007,0,1,-1.516,28.74,0.998,0.847,0.206,0.006,-0.734,20.594,-0.387,4,8,2,2.6,3.67,1.5,2.5,2.38,1.01,1.75,2,2.75,2.8,2.2,2,48,54.25,16.48,1,2,2,1,2,2,2,-0.56,2,2,40000,176.4,1.327,140.96,1.378,77.15,0.489
"14",0,65.37,27.55,0.263,0.017,0.005,0,2,-1.588,20.1,0.953,0.238,0.008,0,-1.362,20.255,-0.417,5,3,2.83,2.4,2.33,2.25,1.5,2.77,2.79,2.46,2.67,2.5,2.6,1.6,1.75,41.38,37.75,15.51,2,2,2,2,2,1,2,2.61,5,2,220000,190.54,1.555,129.06,1.178,90.46,1.141
"15",-1,67.63,33.09,0.782,0.134,0.036,0,2,-1.153,25.17,0.993,0.657,0.067,0.002,-0.966,18.755,-0.527,7,6,3.33,3.2,4,1,3,2.58,2.67,2.59,2.67,3,3,2.6,1.25,46,49.5,16.45,2,2,2,2,2,1,2,1.56,5,2,110000,191.47,1.575,165.68,1.994,102.16,2.026
"16",0,74.27,35.85,0.91,0.285,0.086,0.001,3,-0.956,25.64,0.994,0.692,0.081,0.002,-0.931,16.753,-0.685,5,7,3.5,2.8,3.67,2,2.5,2.28,2.34,2.26,2.83,3.25,3.6,1.2,1.25,43.5,42.5,15.88,2,2,2,2,2,1,2,1.2,5,2,1e+05,199.58,1.791,155.61,1.679,99.49,1.768
"17",0,65.23,28.24,0.331,0.023,0.007,0,2,-1.53,17.4,0.855,0.088,0.002,0,-1.619,9.52,-1.462,5,6,2,2.6,2.5,1.75,3,1.44,1.55,2,2.17,2,1.5,3.4,1.75,42.75,42.75,16.35,2,2,2,1,2,2,2,-0.61,2,2,30000,137.44,0.906,123.65,1.087,57.29,-0.302
"18",-1,74.3,87.13,1,1,0.997,0.98,3,0.787,53.99,1,0.999,0.992,0.721,0.377,37.841,0.763,9,8,3.33,3,4,1.25,1.5,4.32,4.11,3.92,4,3.5,4,1.6,1.25,47.5,43,13.71,2,2,2,2,2,1,2,1.32,5,2,110000,203.63,1.969,160.18,1.799,100.14,1.827
"19",0,63.6,59.6,1,0.991,0.945,0.575,3,0.18,27.11,0.996,0.777,0.129,0.004,-0.835,23.491,-0.191,7,4,3.67,3.2,3,1.5,1,3.05,3.01,2.95,3.67,3.25,3,1.2,1.25,39.5,38.5,17.35,2,2,1,2,2,2,2,0.57,4,2,60000,187.62,1.498,147.97,1.511,94.87,1.417
"20",0,66.67,39.98,0.978,0.615,0.259,0.007,0,-0.679,19.63,0.943,0.203,0.006,0,-1.404,13.791,-0.942,2,8,3.83,3.6,4,1.5,1.5,2.08,1.55,1.75,2.67,2.5,2.8,1,2,45.5,51.5,17.49,2,2,2,1,2,2,2,-0.48,2,1,18000,134.01,0.876,127.5,1.151,63.35,-0.072
"21",-1,66.7,31.51,0.656,0.077,0.021,0,1,-1.267,22.19,0.979,0.408,0.02,0.001,-1.185,23.27,-0.205,3,3,2.83,2.8,3.67,1.25,2,3.25,3.88,3.92,3.5,3.5,3.2,1,1.75,41.63,35.5,14.58,2,2,2,2,2,1,2,0.17,4,2,55000,193.27,1.613,159.97,1.791,99.91,1.804
"22",0,75.3,39.46,0.974,0.573,0.229,0.005,1,-0.705,30.61,0.999,0.902,0.32,0.011,-0.606,26.162,-0.013,8,8,2.67,2,3.33,1.25,1.5,3.35,3.66,3.92,3.5,3,2.8,1.6,1,48.5,54,16.29,2,2,2,2,1,2,2,0.93,5,2,80000,175.19,1.31,130.69,1.201,95.99,1.493
