yearsage,yearsed,pc_in,pc_vo,pc_co,pc_si,pc_pc,pc_pa,pc_bd,pc_oa
18.5,12,75.86206897,58.57142857,62.5,71.42857143,85,60,39.21568628,78.04878049
18.5,14,75.86206897,75.71428571,90.625,64.28571429,85,90,66.66666667,85.36585366
18.5,10,51.72413793,57.14285714,50,67.85714286,75,70,78.43137255,58.53658537
18.5,12,79.31034483,77.14285714,81.25,85.71428571,95,50,64.70588235,63.41463415
18.5,14,82.75862069,87.14285714,65.625,75,85,80,98.03921569,95.12195122
18.5,12,62.06896552,57.14285714,65.625,82.14285714,75,25,70.58823529,63.41463415
18.5,14,72.4137931,70,65.625,78.57142857,60,55,52.94117647,63.41463415
18.5,12,82.75862069,82.85714286,87.5,46.42857143,90,70,66.66666667,53.65853659
18.5,14,75.86206897,68.57142857,71.875,85.71428571,85,85,86.2745098,82.92682927
18.5,10,55.17241379,32.85714286,71.875,71.42857143,80,40,52.94117647,78.04878049
18.5,12,62.06896552,50,71.875,64.28571429,80,55,56.8627451,75.6097561
18.5,12,55.17241379,71.42857143,56.25,92.85714286,80,50,88.23529412,70.73170732
18.5,12,75.86206897,78.57142857,62.5,78.57142857,75,65,45.09803922,70.73170732
18.5,14,79.31034483,58.57142857,75,82.14285714,75,75,72.54901961,80.48780488
18.5,12,37.93103448,60,71.875,71.42857143,65,80,64.70588235,46.34146342
18.5,14,75.86206897,82.85714286,81.25,67.85714286,85,85,96.07843137,92.68292683
18.5,12,72.4137931,60,62.5,78.57142857,80,85,64.70588235,82.92682927
18.5,10,27.5862069,31.42857143,56.25,60.71428571,65,60,66.66666667,75.6097561
18.5,10,48.27586207,45.71428571,50,64.28571429,80,40,72.54901961,87.80487805
18.5,12,86.20689655,84.28571429,75,89.28571429,95,55,66.66666667,80.48780488
18.5,14,58.62068966,65.71428571,81.25,67.85714286,80,60,90.19607843,92.68292683
18.5,10,75.86206897,74.28571429,81.25,82.14285714,85,90,84.31372549,65.85365854
18.5,12,55.17241379,51.42857143,50,75,75,75,92.15686275,87.80487805
18.5,12,75.86206897,72.85714286,71.875,78.57142857,85,75,68.62745098,87.80487805
18.5,12,72.4137931,64.28571429,50,71.42857143,80,85,82.35294118,85.36585366
18.5,12,65.51724138,42.85714286,43.75,67.85714286,80,90,50.98039216,75.6097561
18.5,12,65.51724138,64.28571429,68.75,82.14285714,70,70,43.1372549,56.09756098
18.5,14,58.62068966,55.71428571,62.5,60.71428571,70,60,54.90196078,78.04878049
18.5,12,68.96551724,65.71428571,62.5,75,65,55,52.94117647,60.97560976
18.5,3,24.13793103,60,6.25,35.71428571,80,65,54.90196078,29.26829268
18.5,10,51.72413793,57.14285714,50,82.14285714,65,60,70.58823529,68.29268293
18.5,10,44.82758621,30,31.25,64.28571429,80,80,43.1372549,73.17073171
18.5,12,41.37931035,25.71428571,25,57.14285714,45,35,17.64705882,46.34146342
18.5,12,93.10344828,78.57142857,68.75,71.42857143,90,85,72.54901961,78.04878049
18.5,12,34.48275862,34.28571429,56.25,46.42857143,80,100,43.1372549,51.2195122
18.5,12,82.75862069,68.57142857,71.875,82.14285714,75,75,74.50980392,80.48780488
18.5,12,48.27586207,51.42857143,56.25,50,80,65,72.54901961,68.29268293
18.5,12,41.37931035,48.57142857,65.625,53.57142857,75,70,56.8627451,60.97560976
18.5,12,72.4137931,57.14285714,50,53.57142857,65,55,45.09803922,31.70731707
18.5,12,55.17241379,31.42857143,37.5,32.14285714,60,85,31.37254902,63.41463415
18.5,10,58.62068966,62.85714286,53.125,78.57142857,75,40,37.25490196,58.53658537
18.5,10,41.37931035,40,34.375,28.57142857,80,70,72.54901961,58.53658537
18.5,12,68.96551724,81.42857143,68.75,57.14285714,90,65,72.54901961,80.48780488
18.5,14,75.86206897,85.71428571,87.5,92.85714286,80,45,70.58823529,95.12195122
18.5,10,24.13793103,30,68.75,67.85714286,75,65,82.35294118,73.17073171
18.5,10,41.37931035,34.28571429,18.75,42.85714286,80,85,82.35294118,70.73170732
18.5,10,31.03448276,22.85714286,34.375,17.85714286,75,30,56.8627451,78.04878049
18.5,12,68.96551724,50,46.875,78.57142857,80,65,96.07843137,87.80487805
18.5,10,58.62068966,54.28571429,43.75,28.57142857,65,45,45.09803922,58.53658537
18.5,10,75.86206897,74.28571429,71.875,85.71428571,90,75,68.62745098,82.92682927
18.5,12,48.27586207,64.28571429,53.125,57.14285714,40,80,27.45098039,39.02439024
18.5,10,34.48275862,50,50,39.28571429,80,45,39.21568628,53.65853659
18.5,12,24.13793103,32.85714286,43.75,50,85,70,74.50980392,68.29268293
18.5,10,48.27586207,27.14285714,71.875,42.85714286,85,60,58.82352941,78.04878049
18.5,10,55.17241379,52.85714286,53.125,64.28571429,90,65,64.70588235,87.80487805
18.5,10,62.06896552,55.71428571,53.125,53.57142857,85,60,64.70588235,85.36585366
18.5,12,72.4137931,70,75,78.57142857,70,70,68.62745098,78.04878049
18.5,12,72.4137931,61.42857143,59.375,71.42857143,70,60,54.90196078,43.90243902
18.5,12,79.31034483,71.42857143,50,71.42857143,90,65,74.50980392,78.04878049
18.5,12,72.4137931,60,59.375,53.57142857,90,85,82.35294118,82.92682927
18.5,12,51.72413793,45.71428571,56.25,60.71428571,80,50,52.94117647,21.95121951
18.5,10,68.96551724,48.57142857,28.125,64.28571429,75,80,88.23529412,87.80487805
18.5,10,48.27586207,40,56.25,39.28571429,70,95,41.17647059,63.41463415
18.5,12,62.06896552,85.71428571,75,71.42857143,90,95,86.2745098,100
18.5,10,24.13793103,32.85714286,46.875,57.14285714,70,40,49.01960784,60.97560976
18.5,10,24.13793103,24.28571429,34.375,46.42857143,80,65,66.66666667,73.17073171
18.5,10,65.51724138,72.85714286,75,78.57142857,90,90,72.54901961,82.92682927
18.5,12,75.86206897,72.85714286,71.875,71.42857143,80,90,78.43137255,82.92682927
18.5,10,20.68965517,30,31.25,57.14285714,75,40,50.98039216,70.73170732
18.5,12,17.24137931,17.14285714,34.375,35.71428571,75,55,56.8627451,56.09756098
18.5,10,10.34482759,15.71428571,25,25,65,70,41.17647059,36.58536585
18.5,10,68.96551724,65.71428571,59.375,64.28571429,85,60,43.1372549,90.24390244
18.5,10,62.06896552,60,62.5,57.14285714,75,90,29.41176471,78.04878049
18.5,12,48.27586207,48.57142857,40.625,57.14285714,80,70,66.66666667,56.09756098
18.5,12,55.17241379,47.14285714,46.875,60.71428571,65,70,56.8627451,63.41463415
18.5,12,68.96551724,61.42857143,59.375,57.14285714,70,55,60.78431373,58.53658537
18.5,10,55.17241379,47.14285714,50,64.28571429,75,80,56.8627451,78.04878049
18.5,12,82.75862069,74.28571429,62.5,53.57142857,75,70,82.35294118,87.80487805
18.5,10,68.96551724,74.28571429,65.625,57.14285714,70,70,41.17647059,78.04878049
18.5,10,44.82758621,52.85714286,56.25,64.28571429,80,70,70.58823529,75.6097561
18.5,10,27.5862069,15.71428571,31.25,7.142857143,50,20,15.68627451,29.26829268
18.5,12,68.96551724,68.57142857,65.625,71.42857143,40,50,68.62745098,87.80487805
18.5,12,79.31034483,60,53.125,85.71428571,85,70,76.47058824,80.48780488
18.5,10,72.4137931,75.71428571,75,75,95,80,0,70.73170732
18.5,10,24.13793103,31.42857143,53.125,64.28571429,70,10,62.74509804,87.80487805
18.5,10,20.68965517,18.57142857,25,10.71428571,50,10,56.8627451,73.17073171
18.5,12,75.86206897,78.57142857,62.5,78.57142857,70,85,86.2745098,80.48780488
18.5,10,31.03448276,27.14285714,40.625,57.14285714,65,45,43.1372549,39.02439024
18.5,12,24.13793103,21.42857143,59.375,50,70,55,33.33333333,75.6097561
18.5,10,48.27586207,31.42857143,43.75,53.57142857,60,20,52.94117647,58.53658537
18.5,12,79.31034483,72.85714286,71.875,82.14285714,95,80,41.17647059,90.24390244
18.5,10,58.62068966,87.14285714,65.625,67.85714286,75,65,58.82352941,46.34146342
18.5,10,17.24137931,18.57142857,53.125,67.85714286,55,40,33.33333333,43.90243902
18.5,12,37.93103448,14.28571429,25,32.14285714,60,45,31.37254902,80.48780488
18.5,10,62.06896552,41.42857143,46.875,53.57142857,75,70,43.1372549,73.17073171
18.5,10,31.03448276,22.85714286,40.625,64.28571429,65,20,47.05882353,78.04878049
18.5,8,20.68965517,20,31.25,25,55,30,52.94117647,65.85365854
18.5,8,34.48275862,18.57142857,31.25,10.71428571,65,55,52.94117647,51.2195122
18.5,12,58.62068966,48.57142857,65.625,82.14285714,80,85,64.70588235,73.17073171
18.5,10,65.51724138,64.28571429,71.875,78.57142857,85,90,78.43137255,73.17073171
18.5,14,75.86206897,88.57142857,75,71.42857143,80,75,74.50980392,92.68292683
18.5,14,75.86206897,70,62.5,75,95,75,74.50980392,75.6097561
18.5,12,58.62068966,77.14285714,65.625,82.14285714,75,80,94.11764706,85.36585366
18.5,12,58.62068966,62.85714286,71.875,71.42857143,80,65,45.09803922,60.97560976
18.5,14,75.86206897,90,78.125,85.71428571,85,85,76.47058824,80.48780488
18.5,14,51.72413793,57.14285714,62.5,67.85714286,85,70,45.09803922,80.48780488
18.5,10,68.96551724,72.85714286,84.375,78.57142857,90,90,72.54901961,82.92682927
18.5,12,93.10344828,90,93.75,92.85714286,85,100,80.39215686,92.68292683
18.5,12,62.06896552,58.57142857,37.5,50,65,50,11.76470588,29.26829268
18.5,10,68.96551724,74.28571429,71.875,71.42857143,90,65,84.31372549,80.48780488
18.5,14,82.75862069,85.71428571,78.125,85.71428571,85,70,54.90196078,78.04878049
18.5,12,79.31034483,72.85714286,65.625,67.85714286,85,70,37.25490196,46.34146342
18.5,12,72.4137931,65.71428571,62.5,82.14285714,75,90,56.8627451,60.97560976
18.5,12,34.48275862,58.57142857,62.5,57.14285714,50,40,47.05882353,63.41463415
18.5,12,51.72413793,57.14285714,40.625,42.85714286,85,30,64.70588235,82.92682927
18.5,12,58.62068966,57.14285714,46.875,60.71428571,45,95,62.74509804,82.92682927
18.5,12,79.31034483,62.85714286,53.125,75,75,70,72.54901961,92.68292683
18.5,12,58.62068966,65.71428571,43.75,67.85714286,60,20,17.64705882,24.3902439
18.5,12,37.93103448,45.71428571,62.5,60.71428571,95,25,62.74509804,78.04878049
18.5,10,55.17241379,67.14285714,59.375,50,85,70,68.62745098,68.29268293
18.5,12,58.62068966,64.28571429,53.125,67.85714286,25,45,54.90196078,53.65853659
18.5,14,75.86206897,82.85714286,87.5,82.14285714,85,90,80.39215686,90.24390244
18.5,12,62.06896552,77.14285714,75,71.42857143,80,50,58.82352941,87.80487805
18.5,14,79.31034483,75.71428571,78.125,89.28571429,100,85,68.62745098,95.12195122
18.5,10,51.72413793,41.42857143,65.625,57.14285714,55,70,47.05882353,85.36585366
18.5,12,68.96551724,61.42857143,78.125,60.71428571,100,65,58.82352941,80.48780488
18.5,12,65.51724138,64.28571429,62.5,71.42857143,95,80,80.39215686,92.68292683
18.5,12,72.4137931,67.14285714,65.625,78.57142857,20,70,54.90196078,70.73170732
18.5,12,55.17241379,62.85714286,81.25,78.57142857,95,95,56.8627451,60.97560976
18.5,12,68.96551724,74.28571429,40.625,64.28571429,90,85,47.05882353,80.48780488
18.5,10,37.93103448,35.71428571,53.125,50,65,55,82.35294118,63.41463415
18.5,12,58.62068966,64.28571429,65.625,60.71428571,55,75,58.82352941,60.97560976
18.5,12,58.62068966,68.57142857,75,89.28571429,75,35,43.1372549,60.97560976
18.5,12,75.86206897,60,75,71.42857143,55,80,74.50980392,82.92682927
18.5,12,68.96551724,60,65.625,57.14285714,25,50,29.41176471,48.78048781
18.5,12,75.86206897,78.57142857,75,71.42857143,70,85,86.2745098,87.80487805
18.5,12,55.17241379,74.28571429,65.625,60.71428571,80,70,66.66666667,85.36585366
18.5,12,75.86206897,55.71428571,75,85.71428571,75,70,82.35294118,90.24390244
18.5,12,79.31034483,67.14285714,65.625,85.71428571,90,90,78.43137255,82.92682927
18.5,12,68.96551724,61.42857143,65.625,67.85714286,80,80,74.50980392,80.48780488
18.5,10,48.27586207,57.14285714,50,46.42857143,70,65,56.8627451,85.36585366
18.5,14,68.96551724,90,78.125,89.28571429,100,90,47.05882353,80.48780488
18.5,12,41.37931035,35.71428571,21.875,46.42857143,75,85,52.94117647,68.29268293
18.5,12,34.48275862,55.71428571,46.875,57.14285714,70,90,56.8627451,78.04878049
18.5,12,48.27586207,31.42857143,53.125,78.57142857,80,50,80.39215686,90.24390244
18.5,14,55.17241379,70,65.625,67.85714286,95,95,98.03921569,82.92682927
18.5,10,13.79310345,18.57142857,53.125,25,80,65,35.29411765,53.65853659
18.5,10,58.62068966,55.71428571,50,39.28571429,80,30,58.82352941,78.04878049
18.5,10,58.62068966,58.57142857,59.375,35.71428571,80,55,54.90196078,68.29268293
18.5,3,20.68965517,22.85714286,28.125,32.14285714,55,40,31.37254902,78.04878049
18.5,10,13.79310345,11.42857143,12.5,14.28571429,15,10,31.37254902,48.78048781
18.5,12,20.68965517,14.28571429,15.625,7.142857143,20,15,3.921568628,21.95121951
18.5,8,51.72413793,51.42857143,62.5,67.85714286,40,75,54.90196078,87.80487805
18.5,10,37.93103448,61.42857143,81.25,67.85714286,80,100,58.82352941,75.6097561
18.5,12,27.5862069,47.14285714,65.625,64.28571429,70,70,60.78431373,70.73170732
18.5,12,82.75862069,78.57142857,81.25,82.14285714,75,65,78.43137255,87.80487805
18.5,8,20.68965517,32.85714286,50,53.57142857,80,70,54.90196078,51.2195122
18.5,14,62.06896552,58.57142857,68.75,67.85714286,100,75,45.09803922,90.24390244
18.5,12,58.62068966,54.28571429,53.125,60.71428571,65,75,62.74509804,78.04878049
18.5,12,93.10344828,71.42857143,62.5,75,70,90,66.66666667,68.29268293
18.5,12,44.82758621,27.14285714,56.25,25,80,70,39.21568628,78.04878049
18.5,10,62.06896552,54.28571429,31.25,67.85714286,70,75,49.01960784,34.14634146
18.5,12,62.06896552,61.42857143,78.125,67.85714286,75,55,41.17647059,82.92682927
